,name,zone,price,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,exterior,cp,extract_day
89208767,Alquiler de Piso en Rios Rosas,"El Putxet i el Farró, Barcelona",1200,80,2,1,1,1,segunda mano/buen estado,1965,0,1,1,0,1,0,0,08006,2022-02-09
96192043,Alquiler de Dúplex en El Putxet i el Farró,"Sarrià-Sant Gervasi, Barcelona",6500,145,3,3,1,0,segunda mano/buen estado,,1,1,1,0,1,1,1,08006,2022-02-09
96713456,Alquiler de Piso en calle de Ríos Rosas,"El Putxet i el Farró, Barcelona",1200,80,2,1,1,0,segunda mano/buen estado,1925,1,1,1,0,1,0,1,08006,2022-02-09
96386443,Alquiler de Piso en Sant Gervasi - Galvany,"Sarrià-Sant Gervasi, Barcelona",2950,280,5,4,0,0,segunda mano/buen estado,,1,1,0,0,1,1,1,08006,2022-02-09
96713435,Alquiler de Piso en calle de Balmes,"Sant Gervasi - Galvany, Barcelona",4800,416,4,5,0,0,segunda mano/buen estado,1949,1,0,0,6,1,1,1,08006,2022-02-09
92484171,Alquiler de Piso en calle de Brusi,"Sant Gervasi - Galvany, Barcelona",1299,82,3,2,0,0,segunda mano/buen estado,1969,0,0,0,2,1,0,1,08006,2022-02-09
96713111,"Alquiler de Piso en calle de Ríos Rosas, 36","El Putxet i el Farró, Barcelona",1200,80,2,1,1,0,segunda mano/buen estado,,1,1,1,0,0,1,1,08006,2022-02-09
96468823,Alquiler de Dúplex en calle de Dénia,"Sant Gervasi - Galvany, Barcelona",2630,113,3,2,1,0,segunda mano/buen estado,,1,0,0,0,1,1,1,08006,2022-02-09
96713233,Alquiler de Piso en calle de Ríos Rosas,"El Putxet i el Farró, Barcelona",1200,85,2,1,1,0,segunda mano/buen estado,1925,0,1,1,0,1,1,1,08006,2022-02-09
96399373,Alquiler de Piso en travesía de Gràcia,"Sant Gervasi - Galvany, Barcelona",1900,142,4,3,0,1,segunda mano/buen estado,,1,0,0,4,1,1,1,08006,2022-02-09
96711217,Alquiler de Piso en calle de Julián Romea,"Sant Gervasi - Galvany, Barcelona",1000,50,1,1,1,0,segunda mano/buen estado,,1,0,0,2,1,1,1,08006,2022-02-09
95785079,Alquiler de Piso en calle de Muntaner,"Sant Gervasi - Galvany, Barcelona",1250,90,3,2,0,0,segunda mano/buen estado,,1,0,0,2,1,1,1,08006,2022-02-09
89204165,Alquiler de Piso en calle de Ríos Rosas,"El Putxet i el Farró, Barcelona",1200,60,2,1,1,0,segunda mano/buen estado,1925,1,1,1,0,1,0,1,08006,2022-02-09
96650528,Alquiler de Piso en calle de Tavern,"Sant Gervasi - Galvany, Barcelona",1440,87,3,2,0,1,segunda mano/buen estado,,1,0,0,0,1,1,1,08006,2022-02-09
92332473,"Alquiler de Piso en calle del Dr. Rizal, 5","Vila de Gràcia, Barcelona",930,57,2,1,0,1,segunda mano/buen estado,1970,0,0,0,2,0,1,1,08006,2022-02-09
96648660,Alquiler de Piso en ronda del General Mitre,"El Putxet i el Farró, Barcelona",2000,151,4,2,1,1,segunda mano/buen estado,1959,1,0,0,3,1,1,1,08006,2022-02-09
96708851,Alquiler de Piso en TAVERN,"Sant Gervasi - Galvany, Barcelona",2000,175,4,4,1,0,segunda mano/buen estado,,1,0,0,3,1,1,1,08006,2022-02-09
96681319,Alquiler de Piso en avenida Diagonal,"Vila de Gràcia, Barcelona",2480,130,3,2,0,1,segunda mano/buen estado,,1,0,0,2,1,1,1,08006,2022-02-09
96706387,"Alquiler de Casa o chalet independiente en Passatge Sant Felip, 16","El Putxet i el Farró, Barcelona",4500,200,3,2,1,1,segunda mano/buen estado,1980,1,1,1,0,1,0,0,08006,2022-02-09
81990984,Alquiler de Piso en El Putxet i el Farró,"Sarrià-Sant Gervasi, Barcelona",1200,70,2,1,1,0,segunda mano/buen estado,1925,1,0,0,0,0,0,1,08006,2022-02-09
96706296,Alquiler de Piso en travesía de Gràcia,"Sant Gervasi - Galvany, Barcelona",1170,65,2,1,0,0,segunda mano/buen estado,1949,1,1,0,5,1,1,1,08006,2022-02-09
93755392,Alquiler de Piso en calle de Balmes,"Sant Gervasi - Galvany, Barcelona",895,54,1,1,1,1,segunda mano/buen estado,,1,0,0,5,0,1,1,08006,2022-02-09
96705087,Alquiler de Piso en calle de Neptú,"Vila de Gràcia, Barcelona",1300,71,2,1,0,0,segunda mano/buen estado,,1,1,1,0,1,0,1,08006,2022-02-09
96450346,Alquiler de Piso en Sant Gervasi - Galvany,"Sarrià-Sant Gervasi, Barcelona",1300,45,1,1,0,0,segunda mano/buen estado,,1,1,1,1,0,1,1,08006,2022-02-09
96704880,"Alquiler de Piso en calle de Plató, 22","Sant Gervasi - Galvany, Barcelona",950,71,1,1,0,0,segunda mano/buen estado,,1,1,1,0,1,0,1,08006,2022-02-09
96220548,Alquiler de Piso en travesía de Gràcia,"Sant Gervasi - Galvany, Barcelona",1900,142,4,3,0,1,segunda mano/buen estado,,1,0,0,3,1,1,1,08006,2022-02-09
