,name,zone,price,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,exterior,cp,extract_day
96715042,Alquiler de Piso en plaza de Catalunya,"La Dreta de l'Eixample, Barcelona",1650,90,3,2,0,0,segunda mano/buen estado,,0,1,1,3,0,1,1,08002,2022-02-09
96591508,Alquiler de Ático en CODOLS,"El Gòtic, Barcelona",725,30,0,1,1,0,segunda mano/buen estado,1910,1,1,1,4,1,0,1,08002,2022-02-09
96714119,Alquiler de Piso en AMERICA,"La Dreta de l'Eixample, Barcelona",775,53,2,1,0,0,segunda mano/buen estado,,0,0,0,1,0,0,1,08002,2022-02-09
96683574,Alquiler de Piso en calle del Regomir,"El Gòtic, Barcelona",2550,90,2,2,0,0,segunda mano/buen estado,2020,1,1,1,4,1,1,1,08002,2022-02-09
96711703,Alquiler de Piso en calle dels Boters,"El Gòtic, Barcelona",1100,62,1,1,0,1,segunda mano/buen estado,,0,1,1,2,1,0,1,08002,2022-02-09
96689839,Alquiler de Ático en calle del Regomir,"El Gòtic, Barcelona",2600,60,1,1,1,0,segunda mano/buen estado,2021,1,1,1,5,1,1,1,08002,2022-02-09
96710630,Alquiler de Piso en Passatge del Dormitori Sant Francesc,"El Gòtic, Barcelona",1400,88,2,1,0,1,segunda mano/buen estado,1900,0,0,0,3,1,0,1,08002,2022-02-09
96052419,Alquiler de Piso en paseo de gracia,"La Dreta de l'Eixample, Barcelona",2399,85,1,1,0,1,segunda mano/buen estado,1968,1,1,1,4,1,1,1,08002,2022-02-09
96697525,Alquiler de Piso en ample,"El Gòtic, Barcelona",1150,55,1,1,0,1,segunda mano/buen estado,,0,1,1,2,1,0,1,08002,2022-02-09
96261136,Alquiler de Piso en calle d'Avinyó,"El Gòtic, Barcelona",1500,157,3,2,0,1,segunda mano/buen estado,1900,1,0,0,2,0,1,1,08002,2022-02-09
96692602,Alquiler de Piso en plaza del Regomir,"El Gòtic, Barcelona",1100,60,2,1,0,0,segunda mano/buen estado,,0,1,0,3,0,0,1,08002,2022-02-09
96662527,Alquiler de Ático en El Gòtic,"Ciutat Vella, Barcelona",2600,54,1,1,1,1,segunda mano/buen estado,2022,1,1,1,4,1,1,1,08002,2022-02-09
96691867,Alquiler de Piso en Lledo,"El Gòtic, Barcelona",1500,80,1,1,0,0,segunda mano/buen estado,,1,1,1,1,1,1,1,08002,2022-02-09
96662496,Alquiler de Piso en El Gòtic,"Ciutat Vella, Barcelona",2550,90,2,2,1,1,segunda mano/buen estado,2022,1,1,1,3,1,1,1,08002,2022-02-09
96683665,Alquiler de Piso en calle del Regomir,"El Gòtic, Barcelona",2550,85,2,2,0,0,segunda mano/buen estado,2020,1,1,1,2,1,1,1,08002,2022-02-09
96662522,Alquiler de Piso en El Gòtic,"Ciutat Vella, Barcelona",2550,84,2,2,1,1,segunda mano/buen estado,2022,1,1,1,3,1,1,1,08002,2022-02-09
96682531,Alquiler de Piso en calle d'en Serra,"El Gòtic, Barcelona",840,50,1,1,0,0,segunda mano/buen estado,,1,1,1,0,0,0,1,08002,2022-02-09
96684700,Alquiler de Piso en plaza de Sant Jaume,"El Gòtic, Barcelona",2800,170,3,2,0,1,segunda mano/buen estado,1920,1,1,1,0,1,1,1,08002,2022-02-09
