,name,zone,price,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,exterior,cp,extract_day
96664119,Alquiler de Piso en calle de Felipe de Paz,"La Maternitat i Sant Ramon, Barcelona",965,81,4,1,0,1,segunda mano/buen estado,1969,1,1,1,5,0,1,1,08028,2022-02-05
96354679,Alquiler de Piso en Av. de Madrid,"La Maternitat i Sant Ramon, Barcelona",1000,86,3,2,1,0,segunda mano/buen estado,,1,1,0,6,0,1,1,08028,2022-02-05
96662281,Alquiler de Estudio en calle d'Arizala,"La Maternitat i Sant Ramon, Barcelona",650,43,0,1,1,0,segunda mano/buen estado,,0,1,1,4,1,1,1,08028,2022-02-05
91622090,Alquiler de Piso en Begur,"Sants - Badal, Barcelona",1220,65,2,2,1,1,segunda mano/buen estado,2020,0,1,0,1,1,1,1,08028,2022-02-05
96661968,Alquiler de Piso en calle d'Arizala,"La Maternitat i Sant Ramon, Barcelona",900,60,1,1,1,0,segunda mano/buen estado,,1,1,1,2,0,1,1,08028,2022-02-05
96631026,Alquiler de Piso en calle de Felipe de Paz,"La Maternitat i Sant Ramon, Barcelona",1200,95,4,2,0,1,segunda mano/buen estado,,1,1,1,3,1,1,1,08028,2022-02-05
96660592,"Alquiler de Piso en calle de Bacardí, 45","Sants - Badal, Barcelona",746,50,2,1,0,1,segunda mano/buen estado,1930,0,0,0,2,0,0,1,08028,2022-02-05
94875592,Alquiler de Piso en La Maternitat i Sant Ramon,"Les Corts, Barcelona",1600,101,4,2,1,1,segunda mano/buen estado,,1,1,1,0,1,1,0,08028,2022-02-05
26244469,Alquiler de Piso en Masferrer,"Les Corts, Barcelona",1200,90,2,1,0,0,segunda mano/buen estado,,0,1,0,2,1,1,1,08028,2022-02-05
28037178,Alquiler de Piso en avenida Madrid,"Les Corts, Barcelona",880,55,2,1,0,1,segunda mano/buen estado,1934,0,1,1,3,0,1,0,08028,2022-02-05
96658931,Alquiler de Ático en calle Aristides Maillol,"La Maternitat i Sant Ramon, Barcelona",950,79,3,1,1,1,segunda mano/buen estado,1981,1,1,1,4,1,1,1,08028,2022-02-05
96259100,Alquiler de Piso en calle de Mejía Lequerica,"La Maternitat i Sant Ramon, Barcelona",1300,91,3,2,0,1,segunda mano/buen estado,1975,1,1,0,4,1,1,1,08028,2022-02-05
96658077,Alquiler de Piso en Pintor Tapiró,"La Maternitat i Sant Ramon, Barcelona",680,50,2,1,0,0,segunda mano/buen estado,1963,0,1,0,1,0,0,1,08028,2022-02-05
90279399,Alquiler de Piso en calle de Sabino Arana,"La Maternitat i Sant Ramon, Barcelona",1500,92,3,2,1,0,segunda mano/buen estado,1970,0,0,0,9,1,1,1,08028,2022-02-05
96657656,Alquiler de Piso en calle de Sant Medir,"Sants, Barcelona",850,80,3,1,0,1,segunda mano/buen estado,1980,0,0,0,4,0,0,1,08028,2022-02-05
84889752,"Alquiler de Piso en calle de Galileu, Barcelona","Les Corts, Barcelona",1500,117,5,2,1,0,segunda mano/buen estado,1975,1,0,0,1,1,1,1,08028,2022-02-05
96656176,Alquiler de Piso en calle del Tinent Flomesta,"Sants, Barcelona",790,60,2,1,0,0,segunda mano/buen estado,,0,1,0,2,1,1,1,08028,2022-02-05
96591006,Alquiler de Piso en riera blanca,"La Maternitat i Sant Ramon, Barcelona",2400,85,4,2,0,1,segunda mano/buen estado,2021,1,1,1,7,1,1,1,08028,2022-02-05
