,name,zone,price,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,exterior,cp,extract_day
96715021,Alquiler de Piso en calle del Doctor Aiguader,"Sant Pere - Santa Caterina i la Ribera, Barcelona",2200,72,2,2,0,0,segunda mano/buen estado,,0,1,1,2,0,1,1,08003,2022-02-09
95943919,Alquiler de Piso en Joan de Borbo,"La Barceloneta, Barcelona",1100,65,2,1,0,1,segunda mano/buen estado,1945,0,1,0,1,1,1,1,08003,2022-02-09
96714584,Alquiler de Piso en Sant Benet,"Sant Pere - Santa Caterina i la Ribera, Barcelona",1150,86,3,1,0,1,segunda mano/buen estado,1930,1,0,0,1,0,0,1,08003,2022-02-09
96669832,Alquiler de Piso en calle del Doctor Giné i Partagàs,"La Barceloneta, Barcelona",790,38,1,1,1,1,segunda mano/buen estado,1900,0,0,0,4,0,0,1,08003,2022-02-09
96714454,Alquiler de Estudio en calle de les Basses de Sant Pere,"Sant Pere - Santa Caterina i la Ribera, Barcelona",780,40,0,1,0,1,segunda mano/buen estado,1930,1,1,1,1,0,0,1,08003,2022-02-09
96710678,Alquiler de Piso en calle dels Canvis Nous,"Sant Pere - Santa Caterina i la Ribera, Barcelona",1600,110,2,1,1,1,segunda mano/buen estado,1920,0,0,0,3,0,1,1,08003,2022-02-09
96711593,Alquiler de Piso en calle dels Canvis Nous,"Sant Pere - Santa Caterina i la Ribera, Barcelona",1550,105,2,1,0,0,segunda mano/buen estado,,0,0,0,3,1,1,1,08003,2022-02-09
95836975,Alquiler de Ático en via Laietana,"Sant Pere - Santa Caterina i la Ribera, Barcelona",1650,85,1,2,1,0,segunda mano/buen estado,,1,0,0,8,1,1,1,08003,2022-02-09
96711022,Alquiler de Piso en calle d'Alcanar,"La Barceloneta, Barcelona",975,40,1,1,0,1,segunda mano/buen estado,,0,1,1,4,1,0,1,08003,2022-02-09
96591710,Alquiler de Piso en Flassaders,"Sant Pere - Santa Caterina i la Ribera, Barcelona",1300,65,2,2,1,1,segunda mano/buen estado,,1,1,0,2,1,0,1,08003,2022-02-09
96710287,Alquiler de Piso en calle del Doctor Giné i Partagàs,"La Barceloneta, Barcelona",790,34,1,1,0,1,segunda mano/buen estado,1900,1,1,1,4,0,0,1,08003,2022-02-09
29567252,Alquiler de Piso en La Barceloneta,"Ciutat Vella, Barcelona",1195,68,2,1,0,1,segunda mano/buen estado,,0,0,0,3,0,0,1,08003,2022-02-09
