,name,zone,price,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,exterior,cp,extract_day
96711944,Alquiler de Piso en paseo del Taulat,"El Poblenou, Barcelona",1790,96,3,2,0,1,segunda mano/buen estado,2021,1,1,0,3,1,1,0,08005,2022-02-09
96713308,Alquiler de Dúplex en calle de Bac de Roda,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1700,92,2,2,1,0,segunda mano/buen estado,2000,1,1,0,5,1,1,1,08005,2022-02-09
85629360,Alquiler de Piso en paseo de Calvell,"El Poblenou, Barcelona",2600,60,2,2,0,0,segunda mano/buen estado,,1,1,1,7,1,1,1,08005,2022-02-09
87743565,Alquiler de Dúplex en El Poblenou,"Sant Martí, Barcelona",1845,82,2,1,1,0,segunda mano/buen estado,,0,1,1,0,0,1,1,08005,2022-02-09
91617731,Alquiler de Piso en paseo de Calvell,"El Poblenou, Barcelona",1800,52,1,1,0,0,segunda mano/buen estado,,1,1,1,2,1,1,1,08005,2022-02-09
88807231,Alquiler de Piso en El Poblenou,"Sant Martí, Barcelona",1295,65,2,1,0,0,segunda mano/buen estado,,0,1,1,1,0,0,1,08005,2022-02-09
83615341,Alquiler de Piso en calle de Ramon Turró,"La Vila Olímpica del Poblenou, Barcelona",2150,114,3,2,0,1,segunda mano/buen estado,,0,1,1,2,1,1,1,08005,2022-02-09
89273490,Alquiler de Piso en El Poblenou,"Sant Martí, Barcelona",1845,58,2,1,0,1,segunda mano/buen estado,,0,1,1,3,0,1,1,08005,2022-02-09
96706205,Alquiler de Ático en calle de Bac de Roda,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1696,83,2,2,1,1,segunda mano/buen estado,,1,1,0,6,1,1,1,08005,2022-02-09
92164337,Alquiler de Piso en El Poblenou,"Sant Martí, Barcelona",1595,82,2,1,1,0,segunda mano/buen estado,,0,1,1,0,0,1,0,08005,2022-02-09
96704654,Alquiler de Dúplex en Passatge de Piquer,"El Poblenou, Barcelona",1036,70,1,2,1,0,segunda mano/buen estado,,0,1,0,0,1,1,1,08005,2022-02-09
92279492,Alquiler de Piso en El Poblenou,"Sant Martí, Barcelona",1575,58,2,1,0,1,segunda mano/buen estado,,0,1,1,1,0,1,1,08005,2022-02-09
84472967,Alquiler de Piso en El Poblenou,"Sant Martí, Barcelona",1350,50,1,1,0,1,segunda mano/buen estado,2018,1,1,1,0,1,1,1,08005,2022-02-09
92651036,Alquiler de Piso en El Poblenou,"Sant Martí, Barcelona",1995,58,2,1,0,1,segunda mano/buen estado,,0,1,1,2,0,1,1,08005,2022-02-09
96700428,Alquiler de Estudio en ALABA,"El Parc i la Llacuna del Poblenou, Barcelona",1800,85,0,1,0,0,segunda mano/buen estado,1975,1,1,1,2,1,1,0,08005,2022-02-09
93184526,Alquiler de Estudio en calle de Ramon Turró,"El Poblenou, Barcelona",1850,110,0,1,0,0,segunda mano/buen estado,,0,1,1,1,1,1,1,08005,2022-02-09
95143960,Alquiler de Piso en calle de Bac de Roda,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1950,115,4,2,0,1,segunda mano/buen estado,,0,1,0,5,0,1,1,08005,2022-02-09
96606438,Alquiler de Piso en calle de Pujades,"El Poblenou, Barcelona",1450,75,2,2,0,0,segunda mano/buen estado,1980,1,1,1,2,1,1,0,08005,2022-02-09
96696009,Alquiler de Piso en calle de la Llacuna,"El Poblenou, Barcelona",700,42,2,1,0,0,segunda mano/buen estado,1900,1,0,0,4,1,0,1,08005,2022-02-09
96667745,Alquiler de Piso en paseo de Garcia Fària,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",2250,100,3,2,1,0,segunda mano/buen estado,2001,1,1,1,7,1,1,1,08005,2022-02-09
96695559,Alquiler de Piso en calle de Sardenya,"El Parc i la Llacuna del Poblenou, Barcelona",1400,60,2,1,0,1,segunda mano/buen estado,2008,1,1,1,2,1,1,1,08005,2022-02-09
96682532,Alquiler de Piso en Diagonal Mar i el Front Marítim del Poblenou,"Sant Martí, Barcelona",1696,85,2,2,0,0,segunda mano/buen estado,,0,1,0,1,0,0,1,08005,2022-02-09
96693625,"Alquiler de Estudio en d'alaba, 62","El Parc i la Llacuna del Poblenou, Barcelona",1800,90,0,1,0,0,segunda mano/buen estado,2005,1,1,1,4,1,1,1,08005,2022-02-09
96462879,Alquiler de Piso en rambla del Poblenou,"El Poblenou, Barcelona",1200,59,2,2,1,1,segunda mano/buen estado,,1,1,1,2,0,1,1,08005,2022-02-09
96693439,Alquiler de Estudio en alaba,"El Parc i la Llacuna del Poblenou, Barcelona",1800,85,0,1,0,0,segunda mano/buen estado,,1,1,1,4,0,1,0,08005,2022-02-09
95328144,Alquiler de Piso en calle d'Àlaba,"El Parc i la Llacuna del Poblenou, Barcelona",3750,280,3,2,0,1,segunda mano/buen estado,,1,1,1,3,1,1,1,08005,2022-02-09
85029293,Alquiler de Piso en calle de Llull,"El Poblenou, Barcelona",1400,60,2,1,0,0,segunda mano/buen estado,,0,1,1,5,1,1,0,08005,2022-02-09
96682383,Alquiler de Ático en calle de Bac de Roda,"Diagonal Mar i el Front Marítim del Poblenou, Barcelona",1696,96,2,2,1,0,segunda mano/buen estado,2001,1,1,0,5,1,1,1,08005,2022-02-09
96676009,Alquiler de Estudio en calle de Ramon Turró,"El Poblenou, Barcelona",2300,150,0,2,0,0,segunda mano/buen estado,,0,0,0,0,1,0,1,08005,2022-02-09
96661785,Alquiler de Piso en calle de Ramon Turró s/n,"La Vila Olímpica del Poblenou, Barcelona",3000,130,3,2,1,1,segunda mano/buen estado,,1,1,1,1,1,1,1,08005,2022-02-09
96451275,Alquiler de Piso en calle de Marià Aguiló,"El Poblenou, Barcelona",4500,270,4,3,1,0,segunda mano/buen estado,1930,0,1,1,0,1,0,1,08005,2022-02-09
96532731,"Alquiler de Piso en avenida Diagonal, 107","El Poblenou, Barcelona",890,52,2,1,0,0,segunda mano/buen estado,,0,1,0,1,0,1,1,08005,2022-02-09
82139713,Alquiler de Piso en calle de Los Angeles,"La Vila Olímpica del Poblenou, Barcelona",2295,162,3,2,1,1,segunda mano/buen estado,,0,1,1,0,1,0,0,08005,2022-02-09
92924557,Alquiler de Piso en calle de Joan d'Àustria,"La Vila Olímpica del Poblenou, Barcelona",2300,85,2,1,1,1,segunda mano/buen estado,,0,1,1,0,1,1,1,08005,2022-02-09
92924581,Alquiler de Piso en calle de Joan d'Àustria,"La Vila Olímpica del Poblenou, Barcelona",2300,70,2,1,1,0,segunda mano/buen estado,,0,0,0,2,1,1,1,08005,2022-02-09
89996962,"Alquiler de Piso en PALLARS, 294","El Poblenou, Barcelona",895,60,3,1,0,0,segunda mano/buen estado,1960,0,0,0,1,0,0,1,08005,2022-02-09
93425353,Alquiler de Piso en calle de Bilbao,"El Poblenou, Barcelona",1595,70,2,1,0,0,segunda mano/buen estado,,0,1,1,4,0,1,1,08005,2022-02-09
40426568,Alquiler de Piso en calle del Perelló,"El Poblenou, Barcelona",2200,105,3,2,1,1,segunda mano/buen estado,,0,1,1,3,1,1,0,08005,2022-02-09
96643641,Alquiler de Piso en calle de Ramon Turró,"La Vila Olímpica del Poblenou, Barcelona",1083,48,1,1,1,0,segunda mano/buen estado,,0,0,0,0,0,1,1,08005,2022-02-09
82944947,Alquiler de Dúplex en lope de vega s/n,"El Poblenou, Barcelona",2000,150,2,2,1,0,segunda mano/buen estado,,1,1,1,0,1,1,1,08005,2022-02-09
40380478,Alquiler de Piso en rambla del Poblenou,"El Poblenou, Barcelona",1595,74,2,1,0,1,segunda mano/buen estado,,0,1,1,0,1,1,0,08005,2022-02-09
89813730,Alquiler de Piso en calle de Bac de Roda,"Provençals del Poblenou, Barcelona",2200,90,2,2,0,1,segunda mano/buen estado,,0,1,1,11,1,1,1,08005,2022-02-09
90763276,Alquiler de Piso en calle de Bilbao,"El Poblenou, Barcelona",1595,70,2,1,0,0,segunda mano/buen estado,,0,1,1,3,0,1,1,08005,2022-02-09
94545876,Alquiler de Piso en calle de Bilbao,"El Poblenou, Barcelona",1595,70,2,1,0,0,segunda mano/buen estado,,0,1,1,3,0,1,1,08005,2022-02-09
96421914,Alquiler de Piso en calle de Zamora,"La Vila Olímpica del Poblenou, Barcelona",3000,355,3,2,0,0,segunda mano/buen estado,1973,1,1,0,5,1,1,1,08005,2022-02-09
96487154,Alquiler de Piso en El Poblenou,"Sant Martí, Barcelona",1645,58,2,1,0,1,segunda mano/buen estado,,0,0,0,0,0,1,0,08005,2022-02-09
96635856,Alquiler de Piso en Lope de Vega,"El Poblenou, Barcelona",1195,73,2,1,0,0,segunda mano/buen estado,1936,0,0,0,2,1,0,1,08005,2022-02-09
91924833,Alquiler de Piso en El Poblenou,"Sant Martí, Barcelona",1695,82,2,1,1,0,segunda mano/buen estado,,0,0,0,0,0,1,0,08005,2022-02-09
96366176,"Alquiler de Ático en paseo de Garcia Fària, 33","Diagonal Mar i el Front Marítim del Poblenou, Barcelona",2200,130,4,2,1,1,segunda mano/buen estado,1990,1,1,1,7,1,1,1,08005,2022-02-09
95620538,Alquiler de Piso en badajoz,"El Poblenou, Barcelona",820,44,1,1,0,1,segunda mano/buen estado,1890,0,1,0,1,1,0,1,08005,2022-02-09
96412576,Alquiler de Dúplex en El Poblenou,"Sant Martí, Barcelona",2100,180,4,3,1,1,segunda mano/buen estado,,1,0,0,5,0,1,1,08005,2022-02-09
96658417,Alquiler de Piso en avenida d'Icària,"La Vila Olímpica del Poblenou, Barcelona",1450,113,2,1,0,0,segunda mano/buen estado,1992,1,1,0,4,1,1,1,08005,2022-02-09
96432734,Alquiler de Piso en calle de Zamora,"La Vila Olímpica del Poblenou, Barcelona",1200,133,3,2,0,0,segunda mano/buen estado,1973,1,1,0,5,1,1,1,08005,2022-02-09
95642531,Alquiler de Dúplex en Pallars,"El Poblenou, Barcelona",1250,93,2,2,0,0,segunda mano/buen estado,2008,1,0,0,0,1,1,1,08005,2022-02-09
96246588,Alquiler de Piso en calle d'Àlaba,"El Parc i la Llacuna del Poblenou, Barcelona",3750,280,3,2,0,1,segunda mano/buen estado,,1,0,0,3,1,1,1,08005,2022-02-09
96654405,Alquiler de Piso en calle d'Àlaba,"El Parc i la Llacuna del Poblenou, Barcelona",1900,85,3,1,0,0,segunda mano/buen estado,,0,1,0,0,0,1,1,08005,2022-02-09
96324478,Alquiler de Piso en calle d'Àlaba,"El Parc i la Llacuna del Poblenou, Barcelona",1900,85,1,1,0,0,segunda mano/buen estado,1970,1,1,1,4,1,1,1,08005,2022-02-09
96225789,Alquiler de Piso en calle de Roc Boronat,"El Poblenou, Barcelona",1595,85,2,2,0,0,segunda mano/buen estado,1948,1,1,1,2,1,1,1,08005,2022-02-09
87973255,Alquiler de Piso en paseo de Calvell,"El Poblenou, Barcelona",2591,71,2,2,0,0,segunda mano/buen estado,,0,1,1,5,0,1,0,08005,2022-02-09
95062648,Alquiler de Piso en Lope de Vega,"El Poblenou, Barcelona",1190,45,2,1,0,1,segunda mano/buen estado,,0,1,1,3,0,1,1,08005,2022-02-09
95489519,Alquiler de Piso en avenida ICARIA,"La Vila Olímpica del Poblenou, Barcelona",2300,90,3,2,0,0,segunda mano/buen estado,,1,1,1,1,1,1,1,08005,2022-02-09
87919289,Alquiler de Piso en paseo de Calvell,"El Poblenou, Barcelona",1950,54,1,1,0,0,segunda mano/buen estado,,0,1,1,5,0,1,0,08005,2022-02-09
87904048,Alquiler de Piso en paseo de Calvell,"El Poblenou, Barcelona",2100,54,2,1,0,0,segunda mano/buen estado,,0,1,1,2,0,1,0,08005,2022-02-09
96638251,Alquiler de Piso en calle d'Àlaba,"La Vila Olímpica del Poblenou, Barcelona",1900,345,1,1,0,0,segunda mano/buen estado,,1,1,1,4,1,1,1,08005,2022-02-09
86008957,Alquiler de Piso en calle de Marià Aguiló,"El Poblenou, Barcelona",2190,65,2,2,0,0,segunda mano/buen estado,,0,1,1,2,0,0,0,08005,2022-02-09
96457412,Alquiler de Piso en calle de Ramon Turró,"El Poblenou, Barcelona",1100,60,2,1,1,1,segunda mano/buen estado,1926,0,0,0,1,1,0,1,08005,2022-02-09
96427300,Alquiler de Piso en rambla del Poblenou,"El Poblenou, Barcelona",950,75,3,1,0,0,segunda mano/buen estado,1945,0,1,0,3,1,1,1,08005,2022-02-09
95523557,Alquiler de Piso en El Poblenou,"Sant Martí, Barcelona",1311,75,1,1,0,0,segunda mano/buen estado,,0,0,0,1,0,0,1,08005,2022-02-09
96485484,Alquiler de Ático en calle del Perelló,"El Poblenou, Barcelona",2100,119,3,4,1,0,segunda mano/buen estado,2020,1,1,1,4,1,1,1,08005,2022-02-09
34223293,Alquiler de Piso en La Vila Olímpica del Poblenou,"Sant Martí, Barcelona",1425,60,1,1,0,0,segunda mano/buen estado,,0,1,1,2,0,1,1,08005,2022-02-09
38107423,Alquiler de Piso en paseo de Calvell s/n,"El Poblenou, Barcelona",2100,56,1,1,0,0,segunda mano/buen estado,2000,1,1,1,2,1,1,1,08005,2022-02-09
