,name,zone,price,square_mt,rooms,wc,terraza,balcon,estado,año,armarios,cocina,amueblado,planta,calef,asc,exterior,cp,extract_day
96713367,"Alquiler de Piso en calle de la Riera Alta, 10","El Raval, Barcelona",950,45,2,1,0,0,segunda mano/buen estado,,0,1,1,5,0,1,1,08001,2022-02-09
96462726,Alquiler de Piso en calle Joaquín Costa,"El Raval, Barcelona",1350,70,2,1,0,0,segunda mano/buen estado,,1,1,1,3,1,1,1,08001,2022-02-09
92778979,Alquiler de Piso en El Raval,"Ciutat Vella, Barcelona",1150,67,2,2,0,1,segunda mano/buen estado,,1,1,1,3,0,1,1,08001,2022-02-09
96705914,Alquiler de Piso en El Raval,"Ciutat Vella, Barcelona",1100,55,2,1,0,0,segunda mano/buen estado,,0,0,0,0,0,0,0,08001,2022-02-09
96711110,Alquiler de Piso en calle de la Riereta,"El Raval, Barcelona",1600,70,1,2,1,1,segunda mano/buen estado,,1,0,0,1,1,1,1,08001,2022-02-09
96705959,Alquiler de Piso en El Raval,"Ciutat Vella, Barcelona",1100,55,2,1,0,0,segunda mano/buen estado,,0,0,0,0,0,0,0,08001,2022-02-09
96711108,Alquiler de Piso en calle de la Riereta,"El Raval, Barcelona",1600,80,2,2,1,1,segunda mano/buen estado,,1,0,0,1,1,1,1,08001,2022-02-09
96698319,Alquiler de Piso en calle de la Riereta,"El Raval, Barcelona",1200,48,2,1,0,1,segunda mano/buen estado,2021,1,1,0,1,1,1,1,08001,2022-02-09
96711101,Alquiler de Piso en calle de la Riereta,"El Raval, Barcelona",1600,70,1,2,1,1,segunda mano/buen estado,,1,0,0,1,1,1,1,08001,2022-02-09
40552887,Alquiler de Piso en El Raval,"Ciutat Vella, Barcelona",2650,93,2,2,1,1,segunda mano/buen estado,,0,1,1,0,1,1,1,08001,2022-02-09
96711113,Alquiler de Piso en calle de la Riereta,"El Raval, Barcelona",1600,80,2,2,1,1,segunda mano/buen estado,,1,0,0,1,1,1,1,08001,2022-02-09
96611325,Alquiler de Piso en calle de la Reina Amàlia,"El Raval, Barcelona",1800,80,2,2,1,1,segunda mano/buen estado,2020,1,0,0,2,1,1,1,08001,2022-02-09
96711076,Alquiler de Piso en calle Joaquín Costa,"El Raval, Barcelona",950,45,1,2,1,0,segunda mano/buen estado,1850,1,1,1,1,1,1,1,08001,2022-02-09
96605872,Alquiler de Piso en calle del Príncep de Viana,"El Raval, Barcelona",750,35,1,1,0,0,segunda mano/buen estado,,0,0,0,1,0,1,0,08001,2022-02-09
96708461,"Alquiler de Piso en Lluna, 24","El Raval, Barcelona",700,52,2,1,0,0,segunda mano/buen estado,1925,0,0,0,5,0,0,1,08001,2022-02-09
93961980,Alquiler de Piso en calle dels Tallers,"El Raval, Barcelona",2750,89,2,2,0,1,segunda mano/buen estado,1890,1,0,0,3,1,1,1,08001,2022-02-09
96706304,Alquiler de Piso en vistalegre,"El Raval, Barcelona",650,45,1,1,0,1,segunda mano/buen estado,,1,0,0,2,0,0,0,08001,2022-02-09
85079513,Alquiler de Piso en calle de Gravina,"El Raval, Barcelona",2650,94,2,2,1,1,segunda mano/buen estado,1890,1,0,0,1,1,1,1,08001,2022-02-09
96705691,Alquiler de Piso en calle de l'Arc de Sant Agustí,"El Raval, Barcelona",2000,100,2,2,0,1,segunda mano/buen estado,,1,1,0,1,1,0,1,08001,2022-02-09
96605850,Alquiler de Piso en calle de la Reina Amàlia,"El Raval, Barcelona",1800,80,2,2,1,1,segunda mano/buen estado,2020,1,0,0,0,1,1,1,08001,2022-02-09
96705398,"Alquiler de Estudio en calle de la Reina Amàlia, 5","El Raval, Barcelona",850,40,0,1,0,0,,,0,1,1,0,0,0,0,08001,2022-02-09
39062156,Alquiler de Piso en calle de l'Aurora,"El Raval, Barcelona",1150,65,2,2,0,1,segunda mano/buen estado,1845,1,0,0,3,1,1,1,08001,2022-02-09
35405049,Alquiler de Piso en calle dels Salvador,"El Raval, Barcelona",725,47,1,1,0,1,segunda mano/buen estado,,0,1,1,1,1,1,1,08001,2022-02-09
96010981,Alquiler de Piso en calle de Gravina,"El Raval, Barcelona",2500,110,3,3,0,1,segunda mano/buen estado,,1,1,1,2,1,1,0,08001,2022-02-09
84464110,"Alquiler de Piso en calle de Pelayo, Barcelona","La Dreta de l'Eixample, Barcelona",2750,95,2,2,1,1,segunda mano/buen estado,,1,1,1,4,1,1,1,08001,2022-02-09
91874854,Alquiler de Piso en Marques de Barberà,"El Raval, Barcelona",1470,125,3,2,0,1,segunda mano/buen estado,,1,1,0,0,1,1,1,08001,2022-02-09
96704411,Alquiler de Piso en El Raval,"Ciutat Vella, Barcelona",700,55,2,1,0,1,segunda mano/buen estado,,0,1,0,1,0,0,1,08001,2022-02-09
94555537,Alquiler de Piso en El Raval,"Ciutat Vella, Barcelona",1300,65,3,1,0,1,segunda mano/buen estado,,0,1,0,2,0,0,1,08001,2022-02-09
96703944,Alquiler de Piso en calle del Príncep de Viana,"El Raval, Barcelona",875,60,1,1,0,1,segunda mano/buen estado,,1,1,1,4,1,1,1,08001,2022-02-09
96644945,Alquiler de Piso en calle del Cid,"El Raval, Barcelona",1050,67,2,1,0,0,segunda mano/buen estado,1975,0,0,0,3,0,1,1,08001,2022-02-09
96703620,Alquiler de Piso en calle de Sant Antoni Abat,"El Raval, Barcelona",1000,50,1,1,0,1,segunda mano/buen estado,1841,1,1,1,4,1,0,1,08001,2022-02-09
95434808,"Alquiler de Piso en calle de la Reina Amàlia, 11","El Raval, Barcelona",1600,80,2,2,1,1,segunda mano/buen estado,2020,1,1,1,3,1,1,1,08001,2022-02-09
96702132,Alquiler de Piso en calle de Lancaster,"El Raval, Barcelona",1767,48,2,1,0,0,segunda mano/buen estado,,0,1,1,1,0,0,0,08001,2022-02-09
96675023,Alquiler de Dúplex en lleo,"El Raval, Barcelona",1250,90,2,2,1,0,segunda mano/buen estado,,1,1,1,0,1,0,1,08001,2022-02-09
95696234,Alquiler de Piso en calle de Picalquers,"El Raval, Barcelona",750,50,2,1,0,0,segunda mano/buen estado,,0,1,1,3,1,0,0,08001,2022-02-09
90544885,Alquiler de Piso en El Raval,"Ciutat Vella, Barcelona",1650,70,2,1,0,0,segunda mano/buen estado,2019,1,1,1,3,1,1,1,08001,2022-02-09
96175576,Alquiler de Piso en calle de les Carretes,"El Raval, Barcelona",1150,55,2,2,0,1,segunda mano/buen estado,,1,1,1,2,0,1,1,08001,2022-02-09
96698116,Alquiler de Piso en El Raval,"Ciutat Vella, Barcelona",760,53,2,1,0,1,segunda mano/buen estado,1900,0,0,0,1,0,0,1,08001,2022-02-09
96697399,Alquiler de Estudio en calle de L´ARC DE SANT AGUSTÍ,"El Raval, Barcelona",2001,110,0,2,0,1,segunda mano/buen estado,,1,1,1,6,1,1,1,08001,2022-02-09
28868822,Alquiler de Estudio en calle Cera,"El Raval, Barcelona",600,28,0,1,0,1,segunda mano/buen estado,1900,1,1,1,2,1,0,1,08001,2022-02-09
90802867,Alquiler de Piso en El Raval,"Ciutat Vella, Barcelona",1650,100,3,2,0,0,segunda mano/buen estado,,0,1,1,4,0,0,1,08001,2022-02-09
32516811,Alquiler de Piso en calle de sant pau,"El Raval, Barcelona",925,50,1,1,0,0,segunda mano/buen estado,,1,1,1,4,0,1,1,08001,2022-02-09
96694606,"Alquiler de Piso en reina amalia, 13","El Raval, Barcelona",1700,80,2,2,1,1,segunda mano/buen estado,2021,0,1,1,2,1,1,1,08001,2022-02-09
87471104,"Alquiler de Piso en calle de les Carretes, 21","El Raval, Barcelona",1150,65,2,2,0,1,segunda mano/buen estado,,1,1,1,3,1,1,1,08001,2022-02-09
96693908,"Alquiler de Piso en gravina, 6","El Raval, Barcelona",2650,94,2,2,0,1,segunda mano/buen estado,,1,1,1,3,1,1,1,08001,2022-02-09
96693291,Alquiler de Piso en calle de Sant Pau,"El Raval, Barcelona",995,36,1,1,0,0,segunda mano/buen estado,,0,0,0,2,0,0,1,08001,2022-02-09
95866378,Alquiler de Dúplex en BISBE LAGUARDA,"El Raval, Barcelona",800,50,1,1,1,0,segunda mano/buen estado,1918,0,1,1,0,0,0,0,08001,2022-02-09
96691638,Alquiler de Estudio en plaza de pedró,"El Raval, Barcelona",605,28,0,1,0,0,segunda mano/buen estado,2009,1,1,1,1,1,1,1,08001,2022-02-09
96688431,Alquiler de Piso en calle de la Unió,"El Raval, Barcelona",1215,17,1,2,0,0,segunda mano/buen estado,,0,1,1,1,0,1,0,08001,2022-02-09
96688391,Alquiler de Piso en calle de la Unió,"El Raval, Barcelona",1073,11,1,1,0,0,segunda mano/buen estado,,0,1,1,1,0,1,0,08001,2022-02-09
96688388,Alquiler de Piso en calle de la Unió,"El Raval, Barcelona",1230,17,1,1,0,0,segunda mano/buen estado,,0,1,1,2,0,1,0,08001,2022-02-09
96688324,Alquiler de Piso en calle de la Unió,"El Raval, Barcelona",1290,17,1,1,0,0,segunda mano/buen estado,,0,1,1,1,0,1,0,08001,2022-02-09
96687272,Alquiler de Piso en calle Ferlandina,"El Raval, Barcelona",900,75,3,1,1,1,segunda mano/buen estado,1920,0,0,0,1,0,0,1,08001,2022-02-09
96686573,Alquiler de Estudio en calle de l´ARC DE SANT AGUSTÍ,"El Raval, Barcelona",2000,110,0,2,0,1,segunda mano/buen estado,,1,1,1,3,1,1,1,08001,2022-02-09
96682134,Alquiler de Piso en calle de la Cera,"El Raval, Barcelona",1095,64,2,1,0,1,segunda mano/buen estado,,0,1,1,3,0,0,1,08001,2022-02-09
93061880,"Alquiler de Piso en aurora, 10","El Raval, Barcelona",670,44,1,1,0,1,segunda mano/buen estado,,1,1,1,1,0,0,1,08001,2022-02-09
95801316,"Alquiler de Piso en PRINCEP DE VIANA, 21","El Raval, Barcelona",1250,55,1,1,0,1,segunda mano/buen estado,,0,1,1,0,1,1,1,08001,2022-02-09
96675488,Alquiler de Estudio en calle de l'Arc de Sant Agustí,"El Raval, Barcelona",2000,110,0,2,0,1,segunda mano/buen estado,,1,1,1,2,1,1,1,08001,2022-02-09
